Tiga tahun lamanya orang tinggal aman dengan tidak ada perang antara Aram dan Israel.	Dhu taon lebbi tadha’ perrang e antarana Isra’il ban Siria.
Tetapi jika kamu ini dan anak-anakmu berbalik dari pada-Ku dan tidak berpegang pada segala perintah dan ketetapan-Ku yang telah Kuberikan kepadamu, dan pergi beribadah kepada allah lain dan sujud menyembah kepadanya,	Tape mon ba’na otaba toronanna ba’na ta’ atoro’ pole ka Sengko’ sarta ta’ ta’at ka sakabbinna Tang hokom ban Tang parenta, sarta nyemba ka la’-alla’an laenna.
maka Aku akan melenyapkan orang Israel dari atas tanah yang telah Kuberikan kepada mereka, dan rumah yang telah Kukuduskan bagi nama-Ku itu, akan Kubuang dari hadapan-Ku, maka Israel akan menjadi kiasan dan sindiran di antara segala bangsa.	Sengko’ ngojuga Tang ommat Isra’il dhari nagara se bi’ Sengko’ la ebagi ka Tang ommat jareya. Bariya keya Sengko’ ondura dhari bengko reya se bi’ Sengko’ la eteptebbagi menangka kennengnganna oreng abakte ka Sengko’. E dhimma’a bai, oreng Isra’il bakal eya’-seya’a sarta ekala’-gella’a oreng.
Dan rumah ini akan menjadi reruntuhan, sehingga setiap orang yang lewat akan tertegun, bersuit, dan berkata: Apakah sebabnya TUHAN berbuat yang demikian kepada negeri ini dan kepada rumah ini?	Padalemman kennengnganna oreng ngalakone kabakteyan reya bakal daddiya tombuganna bato jur-gujuran, sampe’ oreng se lebat e seddi’anna bakal padha’a takerjat ban arassa marenges kabbi. Reng-oreng jareya bakal atanya’a kantha reya, ‘Arapa padalemman reya me’ epakantha reya bi’ PANGERAN?’
Maka orang akan berkata: Sebab mereka meninggalkan TUHAN, Allah mereka, yang membawa nenek moyang mereka keluar dari tanah Mesir dan sebab mereka berpegang pada allah lain dan sujud menyembah kepadanya dan beribadah kepadanya. Itulah sebabnya TUHAN mendatangkan segala malapetaka ini ke atas mereka."	Oreng laen bakal nyaoda kantha reya, ‘Polana oreng Isra’il loppa ka PANGERAN, Allahna se ngater para bangatowana kalowar dhari nagara Messer. Sateya oreng Isra’il nyemba la’-alla’an laen. Daddi bi’ PANGERAN epadhatengnge balai reya.’"
Setelah lewat dua puluh tahun selesailah Salomo mendirikan kedua rumah itu, yakni rumah TUHAN dan istana raja.	Sulaiman maddek Padalemman Socce ban karatonna rato abidda dhu polo taon.
Oleh karena Hiram, raja Tirus, telah membantu Salomo dengan kayu aras, kayu sanobar, dan emas, sebanyak yang dikehendakinya, maka pada waktu itu raja Salomo memberikan kepada Hiram dua puluh kota di negeri Galilea.	Kaju comara Libanon ban kaju comara biyasa sarta emmas se ekaparlo Sulaiman kaangguy maddek Padalemman Socce ban karaton jareya kabbi eatore Rato Hiram. Saellana lalakon jareya la mare, Hiram bi’ Rato Sulaiman eparenge kottha dhu polo meggi’ e dhaera Galilea.
Tetapi ketika Hiram datang dari Tirus untuk melihat-lihat kota-kota yang diberikan Salomo kepadanya itu, maka semuanya kurang menyenangkan hatinya.	Hiram meyos ngoladana, tape panggaliyanna ta’ senneng narema papareng jareya.
Sebab itu ia berkata: "Macam apakah kota-kota yang telah kauberikan kepadaku ini, hai saudaraku?" Maka orang menyebutkannya tanah Kabul sampai hari ini.	Dhabuna Rato Hiram ka Rato Sulaiman, "Taretan, me’ kadi paneka tha-kottha paparengnga panjennengngan ka kaula?" Lantaran jareya dhaera jareya gi’ anyama Kabul.
Adapun Hiram telah mengirim kepada raja seratus dua puluh talenta emas.	Hiram la ngerem emmas ka Sulaiman bannya’na lebbi dhari pa’ ebu kilo.
Beginilah hal orang-orang rodi yang telah dikerahkan oleh raja Salomo. Mereka dikerahkan untuk mendirikan rumah TUHAN, dan istana raja, dan Milo, dan tembok Yerusalem, dan juga untuk memperkuat Hazor, Megido dan Gezer.	Rato Sulaiman alampa’agi cara lako paksa kaangguy maddek Padalemman Socce, karatonna rato, pagar alassa Yerusalim ban se nembuga tana e lao’anna Padalemman Socce. Bariya keya se maddek pole kottha Hazor, Megido ban Gezer se la rosak.
--Sebab Firaun, raja Mesir, telah maju berperang dan merebut Gezer, lalu membakarnya dan membunuh orang-orang Kanaan yang diam di kota itu. Kemudian diberikannya kota itu sebagai hadiah kawin kepada anaknya, isteri Salomo,	(Kottha Gezer jareya kottha se lamba’ elorok rato Messer,orengnga padha epate’e, kotthana eobbar. Saellana jareya kottha buru bi’ rato Messer eparengngagi ka pottrena menangka paparengnga e bakto apangantan ban Sulaiman.
maka Salomo memperkuat Gezer--.Lagipula ada orang rodi yang dikerahkan di Bet-Horon Hilir,	Sulaiman se maddek pole tha-kottha jareya.) Kalaban lako paksa keya, Sulaiman maddek pole Bet-Horon-Onjur,
di Baalat, di Tamar di padang gurun, yang ada di negeri Yehuda,	Ba’alat, Tamar e ra-ara beddhi Yehuda,
dan di segala kota perbekalan kepunyaan Salomo, di kota-kota tempat kereta, di kota-kota tempat orang berkuda dan di mana saja Salomo menginginkan mendirikan sesuatu di Yerusalem atau di gunung Libanon, atau di segenap negeri kekuasaannya.	tha-kottha kennengnganna panyempennanna parsadhiya’anna kakanan, ban tha-kottha kennengnganna ran-jaranna ban ta-kareta perrangnga. Rancana pambangonanna e Yerusalim, Libanon ban e saantero baba kakobasa’anna la elampa’agi kabbi.
Semua orang yang masih tinggal dari orang Amori, orang Het, orang Feris, orang Hewi dan orang Yebus, yang tidak termasuk orang Israel, yakni mereka yang masih tinggal di negeri itu dari keturunan bangsa-bangsa itu dan yang tidak dapat ditumpas oleh orang Israel, merekalah yang dikerahkan Salomo untuk menjadi budak rodi; demikianlah mereka sampai hari ini.	Se epalako paksa bi’ Sulaiman iya areya reng-oreng toronanna oreng Amori, Het, Feris, Hewi ban Yebus. Jareya toronanna bangsa Kana’an se ta’ ekenneng pate’e bi’ oreng Isra’il e bakto arebbu’ ban ngobasane nagara jareya. Sampe’ sateya toronanna reng-oreng jareya gi’ terros daddi dunor.
Tetapi orang Israel tidak ada yang dijadikan budak oleh Salomo, melainkan mereka menjadi prajurit, pegawai, pembesar, perwira, atau panglima atas pasukan kereta dan pasukan berkuda.	Oreng Isra’il bi’ Sulaiman ta’ epadaddi dunor; coma epadaddi parjurit, parwira, panglima, komandhanna kareta perrang, ban tantara pasukan jaran.
Inilah pemimpin-pemimpin umum yang mengepalai pekerjaan Salomo: lima ratus lima puluh orang memerintah rakyat yang melakukan pekerjaan itu.	Lema ratos saeket oreng ponggaba epangoros reng-oreng se ajalannagi lako paksa e dhalem proyek pambangonanna Sulaiman se acem-macem.
Segera sesudah anak Firaun pindah dari kota Daud ke rumah yang telah didirikan Salomo baginya, Salomopun mendirikan Milo.	Tana e lao’anna Padalemman Socce bi’ Sulaiman etembuk saellana rajina, iya areya pottrena rato Messer, ngalle dhari Kottha Daud ka karaton se epaddek Sulaiman menangka paparengnga ka rajina jareya.
Tiga kali setahun Salomo mempersembahkan korban-korban bakaran dan korban-korban keselamatan di atas mezbah yang didirikannya bagi TUHAN, dan ia membakar korban api-apiannya di hadapan TUHAN. Demikianlah ia menyelesaikan rumah itu.	Tello kale sataon Sulaiman ngatorragi kurban obbaran ban kurban karokonan e attassa mezba se la epaddek sarta eatorragi ka PANGERAN. Salaenna jareya gi’ ngobbar dupa ka PANGERAN. Daddi Sulaiman la mamare pambangonanna Padalemman Socce.
Raja Salomo membuat juga kapal-kapal di Ezion-Geber yang ada di dekat Elot, di tepi Laut Teberau, di tanah Edom.	Kaangguy armadhana, Sulaiman abadhi pal-kapal e Ezion-Geber, e seddi’anna Elot e paseser Tellok Akaba, dhaera Edom.
Dengan kapal-kapal itu Hiram mengirim anak buahnya, yaitu anak-anak kapal yang tahu tentang laut, menyertai anak buah Salomo.	Rato Hiram ngerem para bandhigana se la andhi’ pangalaman epakon alajar ban para bandhigana Sulaiman.
Mereka sampai ke Ofir dan dari sana mereka mengambil empat ratus dua puluh talenta emas, yang mereka bawa kepada raja Salomo.	Reng-oreng jareya tao alajar ka nagara Ofir ngala’a emmas pa’ bellas ebu kilo se pas egiba ka Sulaiman.
Pada waktu itu raja Salomo menyuruh para tua-tua Israel dan semua kepala suku, yakni para pemimpin puak orang Israel, berkumpul di hadapannya di Yerusalem, untuk mengangkut tabut perjanjian TUHAN dari kota Daud, yaitu Sion.	Saellana jareya Rato Sulaiman makon para kapalana suku ban kapalana kaomma bangsa Isra’il, epakon ngadhep ka salerana e Yerusalim; reng-oreng jareya epakona ngale Petthe Parjanjiyanna PANGERAN dhari Siyon, Kottha Daud, ka Padalemman Socce.
Maka pada hari raya di bulan Etanim, yakni bulan ketujuh, berkumpullah di hadapan raja Salomo semua orang Israel.	Daddi reng-oreng jareya pas padha akompol e Are Raja Ranggun Dhaun e bulan Etanim.
Setelah semua tua-tua Israel datang, maka imam-imam mengangkat tabut itu.	Saellana la-kapalana suku ban la-kapalana kaom jareya la akompol kabbi, Petthe Parjanjiyan jareya eangko’ bi’ para imam,
Mereka mengangkut tabut TUHAN dan Kemah Pertemuan dan segala barang kudus yang ada dalam kemah itu; semuanya itu diangkut oleh imam-imam dan orang-orang Lewi.	pas egiba ka Padalemman Socce. Kemah Socce ban parlengkabanna egiba keya ka Padalemman Socce bi’ para imam sarta reng-oreng Lewi.
Tetapi raja Salomo dan segenap umat Israel yang sudah berkumpul di hadapannya, berdiri bersama-sama dengan dia di depan tabut itu, dan mempersembahkan kambing domba dan lembu sapi yang tidak terhitung dan tidak terbilang banyaknya.	Rato Sulaiman ban ra’yat Isra’il padha akompol kabbi e adha’na Petthe Parjanjiyan jareya, pas ngatorragi kurban dumba ban sape se ta’ kabitong bannya’na ka Pangeran.
Kemudian imam-imam membawa tabut perjanjian TUHAN itu ke tempatnya, di ruang belakang rumah itu, di tempat maha kudus, tepat di bawah sayap kerub-kerub;	Saellana jareya para imam pas ngangko’ Petthe Parjanjiyan jareya ka Padalemman Socce esaba’ e baba’anna ca-arcana kerub e dhalem Rowang Se Mahasocce.
sebab kerub-kerub itu mengembangkan kedua sayapnya di atas tempat tabut itu, sehingga kerub-kerub itu menudungi tabut serta kayu-kayu pengusungnya dari atas.	Kalembangnga ca-arcana kerub jareya menthang notobi petthe gella’ ban kaju pekolan se epangosong petthe jareya.
Kayu-kayu pengusung itu demikian panjangnya, sehingga ujungnya kelihatan dari tempat kudus, yang di depan ruang belakang itu, tetapi tidak kelihatan dari luar; dan di situlah tempatnya sampai hari ini.	Kaju kol-pekol jareya ce’ lanjangnga, sampe’ konco’na etangale’e dhari adha’anna Rowang Se Mahasocce, tape dhari kennengngan laenna ta’ etangale. (Sampe’ sateya ju-kaju pekolan jareya gi’ badha e jadhiya.)
Dalam tabut itu tidak ada apa-apa selain dari kedua loh batu yang diletakkan Musa ke dalamnya di gunung Horeb, yakni loh-loh batu bertuliskan perjanjian yang diadakan TUHAN dengan orang Israel pada waktu perjalanan mereka keluar dari tanah Mesir.	Petthe Parjanjiyan jareya tadha’ esse laenna kajabana bato dhadhuwa’. Bato jareya esaba’ e jadhiya bi’ Mosa e Gunong Sinay, e baktona PANGERAN mabadha parjanjiyan ban bangsa Isra’il se badha e dhalem parjalanan dhari Messer ka Kana’an.
Ketika imam-imam keluar dari tempat kudus, datanglah awan memenuhi rumah TUHAN,	E baktona para imam kalowar dhari Padalemman Socce gella’ o-tao padalemman jareya katotoban ondhem.
sehingga imam-imam tidak tahan berdiri untuk menyelenggarakan kebaktian oleh karena awan itu, sebab kemuliaan TUHAN memenuhi rumah TUHAN.	Ondhem jareya tera’ tar-kataran polana kahadiranna PANGERAN, sampe’ para imam jareya ta’ ngenneng maso’ pole kaangguy ajalannagi kawajiban-kawajibanna.
Pada waktu itu berkatalah Salomo: "TUHAN telah menetapkan matahari di langit, tetapi Ia memutuskan untuk diam dalam kekelaman.	Sulaiman pas adu’a: "Adhu, GUSTE, Junandalem se nyaba’ are e langnge’, namong Junandalem akasokanan alenggi e dhalem pettengnga ondhem.
Sekarang, aku telah mendirikan rumah kediaman bagi-Mu, tempat Engkau menetap selama-lamanya."	Samangken paneka abdidalem abadhi compo’ se ce’ saena, kaangguy kalenggiyanna Junandalem salanjangnga."
Kemudian berpalinglah raja lalu memberkati seluruh jemaah Israel, sedang segenap jemaah Israel berdiri.	Samarena adu’a Sulaiman abiluk addhep ka ra’yadda se manjeng e jadhiya, pas nyo’onnagi berkadda Pangeran kaangguy ra’yadda jareya.
Ia berkata: "Terpujilah TUHAN, Allah Israel, yang telah menyelesaikan dengan tangan-Nya apa yang difirmankan-Nya dengan mulut-Nya kepada Daud, ayahku, demikian: Sejak Aku membawa umat-Ku Israel keluar dari Mesir, tidak ada kota yang Kupilih di antara segala suku Israel untuk mendirikan rumah di sana sebagai tempat kediaman nama-Ku, tetapi Aku telah memilih Daud untuk berkuasa atas umat-Ku Israel."	Ca’na Sulaiman ka ra’yadda, "Lamba’ PANGERAN la ajanji kantha reya ka Daud tang rama, ‘Molae Sengko’ ngeba Tang ommat kalowar dhari Messer, e sanagara Isra’il tadha’ kottha se bi’ Sengko’ epele kaangguy epaddeggi padalemman kennengnganna oreng ajalannagi kabakteyan ka Sengko’. Tape ba’na, Daud, bi’ Sengko’ epele epamarenta’a Tang ommat.’ Molja’agi Guste Allahna ommat Isra’il se la neptebbi janjina jareya."
Lalu raja melanjutkan: "Ketika Daud, ayahku bermaksud mendirikan rumah untuk nama TUHAN, Allah Israel,	Sulaiman pas adhabu pole, "Daud tang rama la arancana’agi maddegga padalemman kennengnganna oreng ajalannagi kabakteyan ka GUSTE Allahna Isra’il.
berfirmanlah TUHAN kepadanya: Engkau bermaksud mendirikan rumah untuk nama-Ku, dan maksudmu itu memanglah baik;	Tape PANGERAN adhabu ka tang rama jareya, ‘Maksodda ba’na jareya becce’.
hanya, bukanlah engkau yang akan mendirikan rumah itu, melainkan anak kandungmu yang akan lahir kelak, dialah yang akan mendirikan rumah itu untuk nama-Ku.	Tape se bakal maddegga Tang padalemman jareya ana’na ba’na, banne ba’na dibi’.’
Jadi TUHAN telah menepati janji yang telah diucapkan-Nya; aku telah bangkit menggantikan Daud, ayahku, dan telah duduk di atas takhta kerajaan Israel, seperti yang difirmankan TUHAN: aku telah mendirikan rumah ini untuk nama TUHAN, Allah Israel,	Ban sateya PANGERAN la neptebbi janjina. Sengko’ la agante tang rama daddi rato Isra’il, ban sengko’ la maddek padalemman kennengnganna kabakteyan ka PANGERAN, Allahna Isra’il.
dan telah menyediakan di sana tempat untuk tabut, yang memuat perjanjian yang telah diadakan TUHAN dengan nenek moyang kita, ketika mereka dibawa-Nya keluar dari tanah Mesir."	E dhalem Padalemman Socce jareya bi’ sengko’ epobuwi kennengnganna Petthe Parjanjiyan se aesse bato parjanjiyanna PANGERAN ban para bangatowana sengko’ ban ba’na kabbi e baktona ebakta kalowar dhari Messer bi’ PANGERAN."
Kemudian berdirilah Salomo di depan mezbah TUHAN di hadapan segenap jemaah Israel, ditadahkannyalah tangannya ke langit,	Saellana jareya, e adha’anna ra’yadda se badha e jadhiya, Sulaiman ngadek addhep ka mezba, pas ajungjung astana dhu kalaja
lalu berkata: "Ya TUHAN, Allah Israel! Tidak ada Allah seperti Engkau di langit di atas dan di bumi di bawah; Engkau yang memelihara perjanjian dan kasih setia kepada hamba-hamba-Mu yang dengan segenap hatinya hidup di hadapan-Mu;	sambi adu’a, "GUSTE Pangeran, Allahepon Isra’il! E langnge’ otaba e bume tadha’ se padha sareng Junandalem! Junandalem neptebbi dhabuna sareng noduwagi kataresna’an ka ommattepon Junandalem se esto sareng ta’at kalaban gu-onggu ate ka Junandalem.
Engkau yang tetap berpegang pada janji-Mu terhadap hamba-Mu Daud, ayahku, dan yang telah menggenapi dengan tangan-Mu apa yang Kaufirmankan dengan mulut-Mu, seperti yang terjadi pada hari ini.	Junandalem ampon neptebbi dhabuna Junandalem ka rama abdidalem Daud. Pa-ponapa se edhabuwagi sareng Junandalem e are mangken ka’dhinto ampon kalakon.
Maka sekarang, ya TUHAN, Allah Israel, peliharalah apa yang Kaujanjikan kepada hamba-Mu Daud, ayahku, dengan berkata: Keturunanmu takkan terputus di hadapan-Ku dan tetap akan duduk di atas takhta kerajaan Israel, asal anak-anakmu tetap hidup di hadapan-Ku sama seperti engkau hidup di hadapan-Ku. Maka sekarang, ya Allah Israel, biarlah kiranya menjadi nyata keteguhan janji yang telah Kauucapkan kepada hamba-Mu Daud, ayahku.	Junandalem adhabu jugan ka rama, manabi toronanna ta’at kalaban gu-onggu ate ka Junandalem akadi Daud, salanjangnga badhi badha’a sala settonga toronannepon rama se badhi daddiya rato Isra’il. Samangken ka’dhinto, Guste Allahna Isra’il, ngereng kasokana Junandalem neptebbi sadajana dhabuepon Junandalem se ejanjiyagi ka Daud, rama abdidalem.
Tetapi benarkah Allah hendak diam di atas bumi? Sesungguhnya langit, bahkan langit yang mengatasi segala langitpun tidak dapat memuat Engkau, terlebih lagi rumah yang kudirikan ini.	Namong, Guste, ba’ lerressa Junandalem kasokan alenggi e bume ka’dhinto? Langnge’ ta’ cokop lebar kaangguy Junandalem, ponapa pole padalemman kennengngannepon kabakteyan se epaddek abdidalem ka’dhinto!
Maka berpalinglah kepada doa dan permohonan hamba-Mu ini, ya TUHAN Allahku, dengarkanlah seruan dan doa yang hamba-Mu panjatkan di hadapan-Mu pada hari ini!	Adhu, GUSTE Allah Pangeran kaula, abdidalem ka’dhinto abdiepon Junandalem! Namong kasokana Junandalem meyarsa’agi du’a abdidalem, sareng kasokana ngabbuli parnyo’onan abdidalem e are ka’dhinto.
Kiranya mata-Mu terbuka terhadap rumah ini, siang dan malam, terhadap tempat yang Kaukatakan: nama-Ku akan tinggal di sana; dengarkanlah doa yang hamba-Mu panjatkan di tempat ini. Dan dengarkanlah permohonan hamba-Mu dan umat-Mu Israel yang mereka panjatkan di tempat ini; bahwa Engkau juga yang mendengarnya di tempat kediaman-Mu di sorga; dan apabila Engkau mendengarnya, maka Engkau akan mengampuni.	Moga-moga seyang malem Junandalem terrosa ajaga padalemman ka’dhinto se sareng Junandalem ampon epele menangka kennengngannepon oreng abakte ka Junandalem. Moga-moga dhari kalenggiyannepon Junandalem e sowarga Junandalem kasokana meyarsa’agi sareng nyapora abdidalem sareng ommattepon Junandalem manabi abdidalem sadaja ngadhep ka Junandalem sareng adu’a e padalemman ka’dhinto.
Jika seseorang telah berdosa kepada temannya, lalu diwajibkan mengangkat sumpah dengan mengutuk dirinya, dan dia datang bersumpah ke depan mezbah-Mu di dalam rumah ini,	Manabi badha oreng se earane sala ka oreng laen ebakta ka mezbaepon Junandalem e padalemman kennengngannepon kabakteyan ka’dhinto kaangguy asompa ja’ aba’epon ta’ sala,
