Pada mulanya Allah menciptakan langit dan bumi.	E bakto Allah nyepta’agi alam dunnya,
dan tinggallah padanya beberapa waktu lamanya, sampai kegeraman	Ba’na neng e jadhiya gallu kaangguy sabatara, sampe’ kaka’na ba’na elang peggella,
dan kemarahan kakakmu itu surut dari padamu, dan ia lupa apa yang telah engkau perbuat kepadanya; kemudian aku akan menyuruh orang menjemput engkau dari situ. Mengapa aku akan kehilangan kamu berdua pada satu hari juga?"	sarta loppa ka lalakonna ba’na se mapeggel atena jareya. Bi’ sengko’ ba’na pas esorowa kone’e. Sengko’ ta’ terro kaelangana ana’ dhadhuwa’ e dhalem saare."
Kemudian Ribka berkata kepada Ishak: "Aku telah jemu hidup karena perempuan-perempuan Het itu; jikalau Yakub juga mengambil seorang isteri dari antara perempuan negeri ini, semacam perempuan Het itu, apa gunanya aku hidup lagi?"	Ribka mator ka Ishak, "Kaula ce’ caremmedda ka reng-oreng manca binena Esau ka’issa’. Manabi Yakub abine oreng Het jugan, kaula tanto mate.
Kemudian Ishak memanggil Yakub, lalu memberkati dia serta memesankan kepadanya, katanya: "Janganlah mengambil isteri dari perempuan Kanaan.	Ishak laju adikane Yakub. Yakub eberkadi, pas epessen kantha reya, "Ba’na ja’ abine oreng Kana’an.
Bersiaplah, pergilah ke Padan-Aram, ke rumah Betuel, ayah ibumu, dan ambillah dari situ seorang isteri dari anak-anak Laban, saudara ibumu.	Kassa’ ba’na entar ka Mesopotamia ka bengkona Betuwel, embana ba’na, ba’na abine e dhissa’, menta sala settonga ana’na majadhi’na ba’na se anyama Laban.
Moga-moga Allah Yang Mahakuasa memberkati engkau, membuat engkau beranak cucu dan membuat engkau menjadi banyak, sehingga engkau menjadi sekumpulan bangsa-bangsa.	Moga-moga ba’na ban binena eberkadana Allah Se Mahakobasa, ban moga-moga ba’na eparengngana bannya’ ana’na, sopaja ba’na daddiya bangatowana sa-bangsa!
Moga-moga Ia memberikan kepadamu berkat yang untuk Abraham, kepadamu serta kepada keturunanmu, sehingga engkau memiliki negeri ini yang kaudiami sebagai orang asing, yang telah diberikan Allah kepada Abraham."	Moga-moga Allah aberkadana ba’na ban toronanna akantha se aberkadi Ibrahim, sopaja tana se ekennengnge ba’na reya, se la eparengngagi ka Ibrahim bi’ Allah, ekaandhi’a ba’na!"
Demikianlah Ishak melepas Yakub, lalu berangkatlah Yakub ke Padan-Aram, kepada Laban anak Betuel, orang Aram itu, saudara Ribka ibu Yakub dan Esau.	Bi’ Ishak Yakub epakon mangkat ka Mesopotamia, ka oreng se anyama Laban, iya areya ana’na Betuwel oreng Aram rowa, kaka’na Ribka se andhi’ ana’ Yakub ban Esau.
Ketika Esau melihat, bahwa Ishak telah memberkati Yakub dan melepasnya ke Padan-Aram untuk mengambil isteri dari situ--pada waktu ia memberkatinya ia telah memesankan kepada Yakub: "Janganlah ambil isteri dari antara perempuan Kanaan" --	Esau ngedhing ja’ bi’ Ishak Yakub la eberkadi sarta epakon entar nyare bine ka Mesopotamia. Esau ngedhing keya ja’e bakto aberkadi Yakub, Ishak adhabu sopaja Yakub ta’ abine oreng Kana’an.
dan bahwa Yakub mendengarkan perkataan ayah dan ibunya, dan pergi ke Padan-Aram,	Esau tao ja’ Yakub atoro’ ka dhabuna eppa’na ban ebuna, laju entar ka Mesopotamia.
maka Esaupun menyadari, bahwa perempuan Kanaan itu tidak disukai oleh Ishak, ayahnya.	Daddi Esau ngarte ja’ Ishak ta’ lebur ka babine’ Kana’an.
Sebab itu ia pergi kepada Ismael dan mengambil Mahalat menjadi isterinya, di samping kedua isterinya yang telah ada. Mahalat adalah anak Ismael anak Abraham, adik Nebayot.	Daddi Esau laju entar ka Isma’il, pottrana Ibrahim, laju abine ana’na Isma’il se anyama Mahalat, ale’na Nebayot.
Maka Yakub berangkat dari Bersyeba dan pergi ke Haran.	Yakub pas mangkat ka Haran dhari Bersyeba.
Ia sampai di suatu tempat, dan bermalam di situ, karena matahari telah terbenam. Ia mengambil sebuah batu yang terletak di tempat itu dan dipakainya sebagai alas kepala, lalu membaringkan dirinya di tempat itu.	E bakto compet are napa’ ka settong kennengngan, pas ngenep e jadhiya. Yakub ngala’ bato, pas marobbu, batona ekabantal.
Maka bermimpilah ia, di bumi ada didirikan sebuah tangga yang ujungnya sampai di langit, dan tampaklah malaikat-malaikat Allah turun naik di tangga itu.	Teppa’na tedhung laju amempe nangale’e andha se manjeng e bume; konco’na andha jareya napa’ ka langnge’. Kat-malaekat ongga toron e andha jareya.
Berdirilah TUHAN di sampingnya dan berfirman: "Akulah TUHAN, Allah Abraham, nenekmu, dan Allah Ishak; tanah tempat engkau berbaring ini akan Kuberikan kepadamu dan kepada keturunanmu.	PANGERAN ngadek e erenganna, pas adhabu, "Sengko’ reya PANGERAN, Allahna Ibrahim ban Ishak. Tana se ekatedhunge ba’na jareya bi’ Sengko’ ebagiya ka ba’na ban na’ potona.
Keturunanmu akan menjadi seperti debu tanah banyaknya, dan engkau akan mengembang ke sebelah timur, barat, utara dan selatan, dan olehmu serta keturunanmu semua kaum di muka bumi akan mendapat berkat.	Na’ potona ba’na bakal bannya’na akantha bannya’na beddhi e bume ban bakal mencara ka bara’ ban ka temor, ka dhaja ban ka lao’; ban lantaran ba’na ban na’ potona, Sengko’ aberkadana sakabbinna bangsa e bume.
Sesungguhnya Aku menyertai engkau dan Aku akan melindungi engkau, ke manapun engkau pergi, dan Aku akan membawa engkau kembali ke negeri ini, sebab Aku tidak akan meninggalkan engkau, melainkan tetap melakukan apa yang Kujanjikan kepadamu."	Mon ba’na entar dha’ emma’a bai, bi’ Sengko’ terros ebarengngana ban elindhungana. Ban pole, bi’ Sengko’ ba’na epabaliya pole ka nagara reya. Sengko’ ta’ adina’agiya ba’na, ban sabarang se ejanjiyagi Sengko’ ka ba’na bi’ Sengko’ eteptebbana kabbi."
Ketika Yakub bangun dari tidurnya, berkatalah ia: "Sesungguhnya TUHAN ada di tempat ini, dan aku tidak mengetahuinya."	Yakub ngedhing, pas ngoca’, "PANGERAN badha e dhinna’, e kennengngan reya, sengko’ buru tao!"
Ia takut dan berkata: "Alangkah dahsyatnya tempat ini. Ini tidak lain dari rumah Allah, ini pintu gerbang sorga."	Yakub arassa tako’, laju ngoca’, "Marengessa kennengngan reya! Tantona reya kalenggiyanna Allah, labang sakethengnga sowarga."
Keesokan harinya pagi-pagi Yakub mengambil batu yang dipakainya sebagai alas kepala dan mendirikan itu menjadi tugu dan menuang minyak ke atasnya.	Kalagguwanna Yakub jaga gu-laggu. Batona se ekabantal ekala’, pas epamanjeng menangka bato parengeddan. Bato jareya eserame mennya’ jaitun menangka tandha ja’ bato jareya eatorragi ka Allah.
Ia menamai tempat itu Betel; dahulu nama kota itu Lus.	Kennengngan jareya laju enyamae Betel. Lamba’ nyamana Lus.
Lalu bernazarlah Yakub: "Jika Allah akan menyertai dan akan melindungi aku di jalan yang kutempuh ini, memberikan kepadaku roti untuk dimakan dan pakaian untuk dipakai,	Yakub laju asompa ka Allah, oca’na, "Manabi Junandalem asarengnge sareng ajaga abdidalem e dhalem parjalanan ka’dhinto, marenge abdidalem teddha’an sareng salenan,
sehingga aku selamat kembali ke rumah ayahku, maka TUHAN akan menjadi Allahku.	kantos abdidalem salamet abali ka kalenggiyanna eppa’. Junandalem, Guste PANGERAN, badhi daddiya Allah se esemba’a abdidalem.
Dan batu yang kudirikan sebagai tugu ini akan menjadi rumah Allah. Dari segala sesuatu yang Engkau berikan kepadaku akan selalu kupersembahkan sepersepuluh kepada-Mu."	Abdidalem ngatorragiya ka Junandalem saparpolonna dhari sadajana se eparengngagi Junandalem ka abdidalem. Bato parengeddan e epamanjeng sareng abdidalem ka’dhinto badhi kennengngan kaangguy abakte ka Junandalem."
Kemudian berangkatlah Yakub dari situ dan pergi ke negeri Bani Timur.	Yakub nerrossagi parjalananna entar ka tana e temorranna Kana’an.
Ketika ia memandang sekelilingnya, dilihatnya ada sebuah sumur di padang, dan ada tiga kumpulan kambing domba berbaring di dekatnya, sebab dari sumur itulah orang memberi minum kumpulan-kumpulan kambing domba itu. Adapun batu penutup sumur itu besar;	Se ajalan pas napa’ ka settong somor se badha e tengnga teggal. E seddi’na somor jareya badha dumba tello ambalan padha arendhu, ba-dumba jareya biyasana eenome e somor jareya. Somor jareya ekodhunge bato se raja.
dan apabila segala kumpulan kambing domba itu digiring berkumpul ke sana, maka gembala-gembala menggulingkan batu itu dari mulut sumur, lalu kambing domba itu diberi minum; kemudian dikembalikanlah batu itu lagi ke mulut sumur itu.	Mon ba-dumba se eenomana la padha napa’ ka jadhiya, reng-oreng ngowanna pas magulu’ kodhungnga somorra, epakapenggir. Ba-dumbana pas padha eenome. Mon la mare, kodhungnga somor jareya pas epobu pole areng-bareng.
Bertanyalah Yakub kepada mereka: "Saudara-saudara, dari manakah kamu ini?" Jawab mereka: "Kami ini dari Haran."	Yakub atanya ka reng-oreng ngowan gella’, "Sampeyan dhari ka’imma?" "Dhari Haran," saodda reng-oreng jareya.
Lagi katanya kepada mereka: "Kenalkah kamu Laban, cucu Nahor?" Jawab mereka: "Kami kenal."	Yakub atanya pole, "Sampeyan ponapa kennal ka Laban, pottrana Nahor?" "Enggi, kennal," ca’na reng-oreng ngowan jareya.
Selanjutnya katanya kepada mereka: "Selamatkah ia?" Jawab mereka: "Selamat! Tetapi lihat, itu datang anaknya perempuan, Rahel, dengan kambing dombanya."	Kadi ponapa kabadha’anna Laban? ca’na Yakub. "Sae," ca’na reng-oreng ngowan gella’. "Ka’issa’ pottrana, Rahel, ngenomana embi’ sareng dumbana."
Lalu kata Yakub: "Hari masih siang, belum waktunya untuk mengumpulkan ternak; berilah minum kambing dombamu itu, kemudian pergilah menggembalakannya lagi."	Ca’na Yakub, "Samangken gi’ aban, gi’ banne baktona dumba epamaso’ ka kandhang. Aponapa me’ ta’ eenome gallu, pas ocol pole me’ olle ngamba?"
Tetapi jawab mereka: "Kami tidak dapat melakukan itu selama segala kumpulan binatang itu belum berkumpul; barulah batu itu digulingkan dari mulut sumur dan kami memberi minum kambing domba kami."	Saodda reng-oreng ngowan jareya, "Mon samangken gi’ ta’ bisa. Dhaggi’ mon reng-oreng ngowan pon padha dhateng ban dumbana, buru kodhungnga somor ka’issa’ epagulu’ ekambuli’i. Buru ba-dumba eenome."
Selagi ia berkata-kata dengan mereka, datanglah Rahel dengan kambing domba ayahnya, sebab dialah yang menggembalakannya.	Teppa’na Yakub acaca bi’ reng-oreng ngowan gella’, Rahel napa’ ka jadhiya ban ba-dumbana.
Ketika Yakub melihat Rahel, anak Laban saudara ibunya, serta kambing domba Laban, ia datang mendekat, lalu menggulingkan batu itu dari mulut sumur, dan memberi minum kambing domba itu.	E baktona nangale’e Rahel dhateng ngeba ba-dumbana majadhi’na se anyama Laban, Yakub laju entar ka somor gella’, magulu’ batona sarta pas ngenome ba-dumbana Rahel.
Kemudian Yakub mencium Rahel serta menangis dengan suara keras.	Saellana jareya Yakub pas nyeyom Rahel, sarta laju nanges dhari peragga.
Lalu Yakub menceritakan kepada Rahel, bahwa ia sanak saudara ayah Rahel, dan anak Ribka. Maka berlarilah Rahel menceritakannya kepada ayahnya.	Ca’na Yakub, "Sengko’ reya balana eppa’na ba’na, ana’na Ribka." Rahel berka’ abala ka eppa’na.
Segera sesudah Laban mendengar kabar tentang Yakub, anak saudaranya itu, berlarilah ia menyongsong dia, lalu mendekap dan mencium dia, kemudian membawanya ke rumahnya. Maka Yakub menceritakan segala hal ihwalnya kepada Laban.	Ban e bakto eppa’na ngedhing kabar parkara ponakanna jareya, laju berka’ ngone’e Yakub. Yakub egellu’ tor eseyom, laju egiba ka bengkona. Saellana Yakub mare acareta dhari adha’ sampe’ mare parkara apa se la kadaddiyan,
Kata Laban kepadanya: "Sesungguhnya engkau sedarah sedaging dengan aku." Maka tinggallah Yakub padanya genap sebulan lamanya.	Laban laju ngoca’, "Pajat bendher, ba’na reya gi’ tang dhara dibi’." Yakub apolong e jadhiya sabulan abidda.
Kemudian berkatalah Laban kepada Yakub: "Masakan karena engkau adalah sanak saudaraku, engkau bekerja padaku dengan cuma-cuma? Katakanlah kepadaku apa yang patut menjadi upahmu."	Ca’na Laban ka Yakub, "Ba’na ta’ olle alako ka sengko’ ta’ kalaban olle bajaran maske ba’na reya tang bala. Ba’na menta’a bajaran barampa?"
Laban mempunyai dua anak perempuan; yang lebih tua namanya Lea dan yang lebih muda namanya Rahel.	Laban andhi’ ana’ babine’ kadhuwa, se towa’an nyamana Liya, se ngodha’an nyamana Rahel.
Lea tidak berseri matanya, tetapi Rahel itu elok sikapnya dan cantik parasnya.	Liya orem matana, tape Rahel bagus badanna tor raddin robana.
Yakub cinta kepada Rahel, sebab itu ia berkata: "Aku mau bekerja padamu tujuh tahun lamanya untuk mendapat Rahel, anakmu yang lebih muda itu."	Yakub terro ka Rahel, daddi laju ngoca’, "Kaula poron alako pettong taon manabi kaula eedine abine Rahel."
Sahut Laban: "Lebih baiklah ia kuberikan kepadamu dari pada kepada orang lain; maka tinggallah padaku."	Sambidda Laban, "Lebbi becce’ Rahel bi’ sengko’ ebagi ka ba’na etembang ka oreng laen. Ba’na la enneng dhinna’ ban sengko’."
Jadi bekerjalah Yakub tujuh tahun lamanya untuk mendapat Rahel itu, tetapi yang tujuh tahun itu dianggapnya seperti beberapa hari saja, karena cintanya kepada Rahel.	Yakub alako pettong taon abidda polana terro ka Rahel; bakto se pettong taon jareya ekarassa pera’ pan-barampan are amarga kataresna’anna ka Rahel.
Sesudah itu berkatalah Yakub kepada Laban: "Berikanlah kepadaku bakal isteriku itu, sebab jangka waktuku telah genap, supaya aku akan kawin dengan dia."	Yakub laju ngoca’ ka Laban, "Baktona ampon napa’. Samangken kaula nyo’ona edi akabina sareng pottrana sampeyan."
Lalu Laban mengundang semua orang di tempat itu, dan mengadakan perjamuan.	Daddi Laban pas ajang-onjang ce’ bannya’na. Oreng padha eonjang kabbi.
Tetapi pada waktu malam diambilnyalah Lea, anaknya, lalu dibawanya kepada Yakub. Maka Yakubpun menghampiri dia.	Tape se egiba ka Yakub e malem jareya Liya, banne Rahel. Daddi Yakub apolong tedhung ban Liya.
Lagipula Laban memberikan Zilpa, budaknya perempuan, kepada Lea, anaknya itu, menjadi budaknya.	(Bi’ Laban Liya eberri’i dunor bine’na se anyama Zilpa,esoro gabay pangladinna.)
Tetapi pada waktu pagi tampaklah bahwa itu Lea! Lalu berkatalah Yakub kepada Laban: "Apakah yang kauperbuat terhadap aku ini? Bukankah untuk mendapat Rahel aku bekerja padamu? Mengapa engkau menipu aku?"	Buru kalagguwanna Yakub tao ja’ se ekapolong tedhung jareya Liya. Yakub laju entar ka Laban sarta ngoca’, "Aponapa kaula me’ epacara paneka bi’ sampeyan? Kaula alako polana terro abineya Rahel. Aponapa sampeyan me’ co-ngoco?"
Jawab Laban: "Tidak biasa orang berbuat demikian di tempat kami ini, mengawinkan adiknya lebih dahulu dari pada kakaknya.	Sambidda Laban, "Noro’ adad e dhinna’ ana’ se ngodha’an ta’ olle alake ajangadha’i se towa’an.
Genapilah dahulu tujuh hari perkawinanmu dengan anakku ini; kemudian anakku yang lainpun akan diberikan kepadamu sebagai upah, asal engkau bekerja pula padaku tujuh tahun lagi."	Nante’ gallu sampe’ jang-onjangan se samenggu abidda reya la mare. Rahel bi’ sengko’ ebagiya ka ba’na mon ba’na endha’ alako pettong taon aggi’."
Maka Yakub berbuat demikian; ia menggenapi ketujuh hari perkawinannya dengan Lea, kemudian Laban memberikan kepadanya Rahel, anaknya itu, menjadi isterinya.	Yakub ngenggi’i, ban saellana jang-onjangan se samenggu abidda jareya la mare, bi’ Laban Rahel ebagi ka Yakub menangka binena.
Lagipula Laban memberikan Bilha, budaknya perempuan, kepada Rahel, anaknya itu, menjadi budaknya.	Bi’ Laban Rahel eberri’i dunor bine’na se anyama Bilhah,esoro gabay pangladinna.
Yakub menghampiri Rahel juga, malah ia lebih cinta kepada Rahel dari pada kepada Lea. Demikianlah ia bekerja pula pada Laban tujuh tahun lagi.	Yakub tedhung apolong ban Rahel keya, ban kataresna’anna ka Rahel alebbiyan dhari kataresna’anna ka Liya. Saellana jareya Yakub alako ka Laban pettong taon aggi’.
Ketika TUHAN melihat, bahwa Lea tidak dicintai, dibuka-Nyalah kandungannya, tetapi Rahel mandul.	E bakto PANGERAN ngoladi ja’ Liya ta’ pate ekataresnae bi’ Yakub etembang Rahel, bi’ PANGERAN Liya epaandhi’ ana’, tape Rahel paggun ta’ andhi’ ana’.
Lea mengandung, lalu melahirkan seorang anak laki-laki, dan menamainya Ruben, sebab katanya: "Sesungguhnya TUHAN telah memperhatikan kesengsaraanku; sekarang tentulah aku akan dicintai oleh suamiku."	Liya ngandhung laju rembi’ lalake’. Ca’na Liya, "PANGERAN ngoladi ka tang kasossa’an, ban sateya tang lake tanto neser ka sengko’." Daddi ana’na pas enyamae Ruben.
Mengandung pulalah ia, lalu melahirkan seorang anak laki-laki, maka ia berkata: "Sesungguhnya, TUHAN telah mendengar, bahwa aku tidak dicintai, lalu diberikan-Nya pula anak ini kepadaku." Maka ia menamai anak itu Simeon.	Liya ngandhung pole laju rembi’ lalake’ keya. Ca’na Liya, "PANGERAN apareng ana’ reya ka sengko’ polana PANGERAN meyarsa ja’ sengko’ ta’ ekataresnae tang lake." Daddi ana’na jareya enyamae Simeyon.
Mengandung pulalah ia, lalu melahirkan seorang anak laki-laki, maka ia berkata: "Sekali ini suamiku akan lebih erat kepadaku, karena aku telah melahirkan tiga anak laki-laki baginya." Itulah sebabnya ia menamai anak itu Lewi.	Liya gi’ ngandhung pole ban rembi’ lalake’ keya. Ca’na Liya, "Sateya tang lake tanto acekka’an ka sengko’ sabab sengko’ la ngalahirragi ana’ lalake’ katello." Daddi ana’na jareya enyamae Lewi.
Mengandung pulalah ia, lalu melahirkan seorang anak laki-laki, maka ia berkata: "Sekali ini aku akan bersyukur kepada TUHAN." Itulah sebabnya ia menamai anak itu Yehuda. Sesudah itu ia tidak melahirkan lagi.	Saellana jareya Liya gi’ ngandhung pole sarta rembi’ lalake’ pole. Ca’na Liya, "Sateya sengko’ asokkora ka PANGERAN." Daddi ana’na jareya enyamae Yehuda. Saellana jareya Liya pas ta’ andhi’ ana’ pole.
Ketika dilihat Rahel, bahwa ia tidak melahirkan anak bagi Yakub, cemburulah ia kepada kakaknya itu, lalu berkata kepada Yakub: "Berikanlah kepadaku anak; kalau tidak, aku akan mati."	Tape Rahel paggun ta’ andhi’ ana’. Daddi atena pas arassa baji’ ka taretanna, oca’na ka Yakub, "Tore kaula paandhi’ ana’. Mon bunten kaula bango’ mateya."
Maka bangkitlah amarah Yakub terhadap Rahel dan ia berkata: "Akukah pengganti Allah, yang telah menghalangi engkau mengandung?"	Yakub laju peggel ka Rahel, pas ngoca’, "Sengko’ reya banne Allah. Allah dibi’ se mata’andhi’ ana’ ba’na."
